trainer_idx,wall_time,loss,n_envs,iteration
0,6.37953782081604,2.008939923286438,2,0
0,12.967567443847656,2.1103206183693626,2,0
0,20.290767192840576,1.5525573952992757,2,0
0,25.97624659538269,1.2399725447760688,2,0
0,32.74086236953735,1.0061501049995423,2,0
0,39.523255348205566,0.875978419563987,2,0
0,45.34860062599182,0.7019889574050904,2,0
0,51.74165153503418,0.7932073211669922,2,0
0,58.282854080200195,3.107902774810791,2,0
0,65.10348272323608,1.1056945499506863,2,0
1,6.056546688079834,1.9838516325950624,2,0
1,12.675420045852661,2.0730377006530762,2,0
1,19.978466987609863,1.5590107425053914,2,0
1,25.880512237548828,1.2361154513888888,2,0
1,33.051103591918945,0.9861088101069132,2,0
1,39.393162965774536,0.8634045869653875,2,0
1,45.14107418060303,0.6909270839691162,2,0
1,51.524285316467285,0.720512301271612,2,0
1,58.54640221595764,3.1471485924720763,2,0
1,65.33743238449097,1.152214329025962,2,0
